 >TARREC   rectangular prism; AX,AY,AZ= 32.0000 64.0000 64.0000
    131072 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -32.50000 -32.50000 -32.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    594  18  19   1 1 1 1
    595  19  19   1 1 1 1
    596  20  19   1 1 1 1
    597  21  19   1 1 1 1
    598  22  19   1 1 1 1
    599  23  19   1 1 1 1
    600  24  19   1 1 1 1
    601  25  19   1 1 1 1
    602  26  19   1 1 1 1
    603  27  19   1 1 1 1
    604  28  19   1 1 1 1
    605  29  19   1 1 1 1
    606  30  19   1 1 1 1
    607  31  19   1 1 1 1
    608  32  19   1 1 1 1
    609   1  20   1 1 1 1
    610   2  20   1 1 1 1
    611   3  20   1 1 1 1
    612   4  20   1 1 1 1
    613   5  20   1 1 1 1
    614   6  20   1 1 1 1
    615   7  20   1 1 1 1
    616   8  20   1 1 1 1
    617   9  20   1 1 1 1
    618  10  20   1 1 1 1
    619  11  20   1 1 1 1
    620  12  20   1 1 1 1
    621  13  20   1 1 1 1
    622  14  20   1 1 1 1
    623  15  20   1 1 1 1
    624  16  20   1 1 1 1
    625  17  20   1 1 1 1
    626  18  20   1 1 1 1
    627  19  20   1 1 1 1
    628  20  20   1 1 1 1
    629  21  20   1 1 1 1
    630  22  20   1 1 1 1
    631  23  20   1 1 1 1
    632  24  20   1 1 1 1
    633  25  20   1 1 1 1
    634  26  20   1 1 1 1
    635  27  20   1 1 1 1
    636  28  20   1 1 1 1
    637  29  20   1 1 1 1
    638  30  20   1 1 1 1
    639  31  20   1 1 1 1
    640  32  20   1 1 1 1
    641   1  21   1 1 1 1
    642   2  21   1 1 1 1
    643   3  21   1 1 1 1
    644   4  21   1 1 1 1
    645   5  21   1 1 1 1
    646   6  21   1 1 1 1
    647   7  21   1 1 1 1
    648   8  21   1 1 1 1
    649   9  21   1 1 1 1
    650  10  21   1 1 1 1
    651  11  21   1 1 1 1
    652  12  21   1 1 1 1
    653  13  21   1 1 1 1
    654  14  21   1 1 1 1
    655  15  21   1 1 1 1
    656  16  21   1 1 1 1
    657  17  21   1 1 1 1
    658  18  21   1 1 1 1
    659  19  21   1 1 1 1
    660  20  21   1 1 1 1
    661  21  21   1 1 1 1
    662  22  21   1 1 1 1
    663  23  21   1 1 1 1
    664  24  21   1 1 1 1
    665  25  21   1 1 1 1
    666  26  21   1 1 1 1
    667  27  21   1 1 1 1
    668  28  21   1 1 1 1
    669  29  21   1 1 1 1
    670  30  21   1 1 1 1
    671  31  21   1 1 1 1
    672  32  21   1 1 1 1
    673   1  22   1 1 1 1
    674   2  22   1 1 1 1
    675   3  22   1 1 1 1
    676   4  22   1 1 1 1
    677   5  22   1 1 1 1
    678   6  22   1 1 1 1
    679   7  22   1 1 1 1
    680   8  22   1 1 1 1
    681   9  22   1 1 1 1
    682  10  22   1 1 1 1
    683  11  22   1 1 1 1
    684  12  22   1 1 1 1
    685  13  22   1 1 1 1
    686  14  22   1 1 1 1
    687  15  22   1 1 1 1
    688  16  22   1 1 1 1
    689  17  22   1 1 1 1
    690  18  22   1 1 1 1
    691  19  22   1 1 1 1
    692  20  22   1 1 1 1
    693  21  22   1 1 1 1
    694  22  22   1 1 1 1
    695  23  22   1 1 1 1
    696  24  22   1 1 1 1
    697  25  22   1 1 1 1
    698  26  22   1 1 1 1
    699  27  22   1 1 1 1
    700  28  22   1 1 1 1
    701  29  22   1 1 1 1
    702  30  22   1 1 1 1
    703  31  22   1 1 1 1
    704  32  22   1 1 1 1
    705   1  23   1 1 1 1
    706   2  23   1 1 1 1
    707   3  23   1 1 1 1
    708   4  23   1 1 1 1
    709   5  23   1 1 1 1
    710   6  23   1 1 1 1
    711   7  23   1 1 1 1
    712   8  23   1 1 1 1
    713   9  23   1 1 1 1
    714  10  23   1 1 1 1
    715  11  23   1 1 1 1
    716  12  23   1 1 1 1
    717  13  23   1 1 1 1
    718  14  23   1 1 1 1
    719  15  23   1 1 1 1
    720  16  23   1 1 1 1
    721  17  23   1 1 1 1
    722  18  23   1 1 1 1
    723  19  23   1 1 1 1
    724  20  23   1 1 1 1
    725  21  23   1 1 1 1
    726  22  23   1 1 1 1
    727  23  23   1 1 1 1
    728  24  23   1 1 1 1
    729  25  23   1 1 1 1
    730  26  23   1 1 1 1
    731  27  23   1 1 1 1
    732  28  23   1 1 1 1
    733  29  23   1 1 1 1
    734  30  23   1 1 1 1
    735  31  23   1 1 1 1
    736  32  23   1 1 1 1
    737   1  24   1 1 1 1
    738   2  24   1 1 1 1
    739   3  24   1 1 1 1
    740   4  24   1 1 1 1
    741   5  24   1 1 1 1
    742   6  24   1 1 1 1
    743   7  24   1 1 1 1
    744   8  24   1 1 1 1
    745   9  24   1 1 1 1
    746  10  24   1 1 1 1
    747  11  24   1 1 1 1
    748  12  24   1 1 1 1
    749  13  24   1 1 1 1
    750  14  24   1 1 1 1
    751  15  24   1 1 1 1
    752  16  24   1 1 1 1
    753  17  24   1 1 1 1
    754  18  24   1 1 1 1
    755  19  24   1 1 1 1
    756  20  24   1 1 1 1
    757  21  24   1 1 1 1
    758  22  24   1 1 1 1
    759  23  24   1 1 1 1
    760  24  24   1 1 1 1
    761  25  24   1 1 1 1
    762  26  24   1 1 1 1
    763  27  24   1 1 1 1
    764  28  24   1 1 1 1
    765  29  24   1 1 1 1
    766  30  24   1 1 1 1
    767  31  24   1 1 1 1
    768  32  24   1 1 1 1
