 >TARNAS multisphere target composed of  16 spheres, DIAMX= 48.0000
    346  19 -20 -28 1 1 1
    347  20 -20 -28 1 1 1
    348  21 -20 -28 1 1 1
    349   9 -19 -28 1 1 1
    350  10 -19 -28 1 1 1
    351  11 -19 -28 1 1 1
    352  12 -19 -28 1 1 1
    353  13 -19 -28 1 1 1
    354  14 -19 -28 1 1 1
    355  15 -19 -28 1 1 1
    356  16 -19 -28 1 1 1
    357  17 -19 -28 1 1 1
    358  18 -19 -28 1 1 1
    359  19 -19 -28 1 1 1
    360  20 -19 -28 1 1 1
    361  21 -19 -28 1 1 1
    362   8 -18 -28 1 1 1
    363   9 -18 -28 1 1 1
    364  10 -18 -28 1 1 1
    365  11 -18 -28 1 1 1
    366  12 -18 -28 1 1 1
    367  13 -18 -28 1 1 1
    368  14 -18 -28 1 1 1
    369  15 -18 -28 1 1 1
    370  16 -18 -28 1 1 1
    371  17 -18 -28 1 1 1
    372  18 -18 -28 1 1 1
    373  19 -18 -28 1 1 1
    374  20 -18 -28 1 1 1
    375  21 -18 -28 1 1 1
    376   8 -17 -28 1 1 1
    377   9 -17 -28 1 1 1
    378  10 -17 -28 1 1 1
    379  11 -17 -28 1 1 1
    380  12 -17 -28 1 1 1
    381  13 -17 -28 1 1 1
    382  14 -17 -28 1 1 1
    383  15 -17 -28 1 1 1
    384  16 -17 -28 1 1 1
    385  17 -17 -28 1 1 1
    386  18 -17 -28 1 1 1
    387  19 -17 -28 1 1 1
    388  20 -17 -28 1 1 1
    389  21 -17 -28 1 1 1
    390  22 -17 -28 1 1 1
    391   8 -16 -28 1 1 1
    392   9 -16 -28 1 1 1
    393  10 -16 -28 1 1 1
    394  11 -16 -28 1 1 1
    395  12 -16 -28 1 1 1
    396  13 -16 -28 1 1 1
    397  14 -16 -28 1 1 1
    398  15 -16 -28 1 1 1
    399  16 -16 -28 1 1 1
    400  17 -16 -28 1 1 1
    401  18 -16 -28 1 1 1
    402  19 -16 -28 1 1 1
    403  20 -16 -28 1 1 1
    404  21 -16 -28 1 1 1
    405  22 -16 -28 1 1 1
    406   8 -15 -28 1 1 1
    407   9 -15 -28 1 1 1
    408  10 -15 -28 1 1 1
    409  11 -15 -28 1 1 1
    410  12 -15 -28 1 1 1
    411  13 -15 -28 1 1 1
    412  14 -15 -28 1 1 1
    413  15 -15 -28 1 1 1
    414  16 -15 -28 1 1 1
    415  17 -15 -28 1 1 1
    416  18 -15 -28 1 1 1
    417  19 -15 -28 1 1 1
    418  20 -15 -28 1 1 1
    419  21 -15 -28 1 1 1
    420   9 -14 -28 1 1 1
    421  10 -14 -28 1 1 1
    422  11 -14 -28 1 1 1
    423  12 -14 -28 1 1 1
    424  13 -14 -28 1 1 1
    425  14 -14 -28 1 1 1
    426  15 -14 -28 1 1 1
    427  16 -14 -28 1 1 1
    428  17 -14 -28 1 1 1
    429  18 -14 -28 1 1 1
    430  19 -14 -28 1 1 1
    431  20 -14 -28 1 1 1
    432  21 -14 -28 1 1 1
    433   9 -13 -28 1 1 1
    434  10 -13 -28 1 1 1
    435  11 -13 -28 1 1 1
    436  12 -13 -28 1 1 1
    437  13 -13 -28 1 1 1
    438  14 -13 -28 1 1 1
    439  15 -13 -28 1 1 1
    440  16 -13 -28 1 1 1
    441  17 -13 -28 1 1 1
    442  18 -13 -28 1 1 1
    443  19 -13 -28 1 1 1
    444  20 -13 -28 1 1 1
    445  21 -13 -28 1 1 1
    446  10 -12 -28 1 1 1
    447  11 -12 -28 1 1 1
    448  12 -12 -28 1 1 1
    449  13 -12 -28 1 1 1
    450  14 -12 -28 1 1 1
    451  15 -12 -28 1 1 1
    452  16 -12 -28 1 1 1
    453  17 -12 -28 1 1 1
    454  18 -12 -28 1 1 1
    455  19 -12 -28 1 1 1
    456  20 -12 -28 1 1 1
    457  11 -11 -28 1 1 1
    458  12 -11 -28 1 1 1
    459  13 -11 -28 1 1 1
    460  14 -11 -28 1 1 1
    461  15 -11 -28 1 1 1
    462  16 -11 -28 1 1 1
    463  17 -11 -28 1 1 1
    464  18 -11 -28 1 1 1
    465  19 -11 -28 1 1 1
    466  12 -10 -28 1 1 1
    467  13 -10 -28 1 1 1
    468  14 -10 -28 1 1 1
    469  15 -10 -28 1 1 1
    470  16 -10 -28 1 1 1
    471  17 -10 -28 1 1 1
    472  13 -24 -27 1 1 1
    473  14 -24 -27 1 1 1
    474  15 -24 -27 1 1 1
    475  16 -24 -27 1 1 1
    476  11 -23 -27 1 1 1
    477  12 -23 -27 1 1 1
    478  13 -23 -27 1 1 1
    479  14 -23 -27 1 1 1
    480  15 -23 -27 1 1 1
    481  16 -23 -27 1 1 1
    482  17 -23 -27 1 1 1
    483  18 -23 -27 1 1 1
    484  19 -23 -27 1 1 1
    485  10 -22 -27 1 1 1
    486  11 -22 -27 1 1 1
    487  12 -22 -27 1 1 1
    488  13 -22 -27 1 1 1
    489  14 -22 -27 1 1 1
    490  15 -22 -27 1 1 1
    491  16 -22 -27 1 1 1
    492  17 -22 -27 1 1 1
    493  18 -22 -27 1 1 1
    494  19 -22 -27 1 1 1
    495  20 -22 -27 1 1 1
    496   9 -21 -27 1 1 1
    497  10 -21 -27 1 1 1
    498  11 -21 -27 1 1 1
    499  12 -21 -27 1 1 1
    500  13 -21 -27 1 1 1
    501  14 -21 -27 1 1 1
    502  15 -21 -27 1 1 1
    503  16 -21 -27 1 1 1
    504  17 -21 -27 1 1 1
    505  18 -21 -27 1 1 1
    506  19 -21 -27 1 1 1
    507  20 -21 -27 1 1 1
    508  21 -21 -27 1 1 1
    509   8 -20 -27 1 1 1
    510   9 -20 -27 1 1 1
    511  10 -20 -27 1 1 1
    512  11 -20 -27 1 1 1
    513  12 -20 -27 1 1 1
    514  13 -20 -27 1 1 1
    515  14 -20 -27 1 1 1
    516  15 -20 -27 1 1 1
    517  16 -20 -27 1 1 1
    518  17 -20 -27 1 1 1
    519  18 -20 -27 1 1 1
    520  19 -20 -27 1 1 1
    521  20 -20 -27 1 1 1
    522  21 -20 -27 1 1 1
    523   8 -19 -27 1 1 1
    524   9 -19 -27 1 1 1
    525  10 -19 -27 1 1 1
    526  11 -19 -27 1 1 1
    527  12 -19 -27 1 1 1
    528  13 -19 -27 1 1 1
    529  14 -19 -27 1 1 1
    530  15 -19 -27 1 1 1
    531  16 -19 -27 1 1 1
    532  17 -19 -27 1 1 1
    533  18 -19 -27 1 1 1
    534  19 -19 -27 1 1 1
    535  20 -19 -27 1 1 1
    536  21 -19 -27 1 1 1
    537  22 -19 -27 1 1 1
    538   8 -18 -27 1 1 1
    539   9 -18 -27 1 1 1
    540  10 -18 -27 1 1 1
    541  11 -18 -27 1 1 1
    542  12 -18 -27 1 1 1
    543  13 -18 -27 1 1 1
    544  14 -18 -27 1 1 1
    545  15 -18 -27 1 1 1
